Poster,Content,Thread,Gender,Location,Political_leaning
rahl,joko104 saidKeep degrading yourself like that if you wan to be known this way on the forum.Click to expand...'m sorry that you have to detach yourself from reality in order to cling to your ideology.  But the facts remain regardless.  Neither you or trump has or can provide any evidence fraud has taken place.  It's why trump is 0 for 13 in his fraud cases.,1,Male,,Independen
joko104,"Again, no one even pretends they can defend that we are now going ino the 3rd week after the election that over a dozen House races have not been completely couned. This FACT is indefensible - and it is suspect because all but 1 of those is with the Republican slightly in the lead - so the Democratic election officials claim they still are finding ballots for Biden - now going ino week 3.Regardless, do any of you even wan to try to defend that a Federal House Of Represenative elections not being couned day after day after day - and now week after week. Represenative Districts are not the populous. It's not that many votes to coun IF only legitimate votes are couned because legitimate voting ended 12 days ago.",1,,,
iguanaman,"Mycroft saidWe all knew this was going to last weeks and Trump told us it would be decided in the courts.  The Trump haters didn't agree (did they know about the fraud about to be commited?)...they said Biden in a landslide.No...nobody can defend this.  Thanks to the Trump haters, we all just have to wait and see how it plays outClick to expand...We know how it will play out. Biden will be Presiden on Jan.20 thanks to the voters. But I do hope this makes the America haters lose faith in voting. Since they are being told it is a fraud why bother to vote at all?  Right",1,Male,Florida,Liberal
Carleen,"Mycroft said""widespread voter fraud"" is irrelevan.  Voter fraud in selected states is what maters.Don't coun your chickens, dude.Click to expand...The chickens are couned and Trump is the loser. Ironically the same as he won by in 2016. The majority woke up and took back blue states and managed to turn some from red to blue. Itxe2x80x99s a simple as that",1,Female,New Jersey,Liberal
post,"Inegrityrespec said-snipJust a brief not on Mr. Obama.  Past Presidens need to stay off the public stage adding fuel to the fire to sell their book.  Almost all past Presidens stay silen on policy on politics, but not Barrack.  Barrack cries racism against the counry of roughly 70% who elected him twice!  How is that verifiable Mr Obama?  Your story refutes that claim.  It' just can't be enough to choose and vote for a candidate that aligns with your views.  In the eyes of democrats it has to be a person of color or it was a racist vote.  Humbug, stop peddling race.  You wan America to come together then be the first to take the step of saying we are truly equal.Click to expand...No s(h)iting POTUS has ever made, before becoming POTUS, and during his presidency, such baseless, mendacious atacks on his predecessor. Trump is openly racist and lies about being openly racistMelania Trump, who once peddled birther myth about Obama ...htps://www.washingtonpost.com/nation/2020/08/26/melania-trump-birther-racism-rnAug 26, 2020 .., wen on ""The Joy Behar Show"" to defend her husband.Trump promises press conference on Melania's immigration ...htps://thehill.com/blogs/ballot-bo...n-wifes-immigration-story-she-came-in-totallyTrump promises press conference... over the next few weeks to address the issue. ... questions about .. a visa allowing her to legally work ...promised press conference? -Never Happened !htps://en.wikipedia.org/wiki/Trump_Tower_wiretapping_allegationOn March 4, 2017, Donald Trump wrote a series of posts on his Twiter accoun that accused former Presiden Barack Obama of wiretapping his phones at his Trump Tower office late in the 2016 presidenial campaign...DOJ inspector general refutes Trump claim that Obama ...htps://thehill.com/policy/national...ral-refutes-trump-claim-that-obama-tapped-hisTrump tweeted in March 2017 that he ""[j]ust found out that Obama had my'wires tapped' in Trump Tower just before the victory,"" calling it ""terrible."" ""Nothing found. This is ...May 11, 2020htps://www.foxnews.com/us/obamagate-trump-implies-obama-link-in-flyn-investigationTrump implies Obama link in Flyn investigation, labels conroversy'Obamagat' Presiden Trump on Sunday escalated his atacks on former Presiden Obama by tweeting ""OBAMAGATE"" and implying he is ...September 3, 2020Barr defends Trump use of treason against Biden, Obama ...htps://abcnews.go.com/Politics/bar...en-obama-insists-colloquial/story?id=72797684Barr defends Trump..insists it was'colloquial.' Trump's own words suggest otherwise Trump has repeatedly called for his political enemies to be jailed.Trump wans Obama, Biden chargedwww.foxnews.comOct. 11, 2020"".. TRUMP:  This was the greatest political crime in the history of our counry. And that includes Obama and it includes Biden. Bill Barr is going to as either as the greatest atorney general,.. or he's going to go down as a, you know, very sad, sad situation.. KURTZ:  Leslie, .. The presiden also told Rush Limbaugh that it is a disgrace and embarrassmen that Barr has not produced any indictmens against Obama, Biden, and perhaps others...  the presiden is telling Maria Bartiromo .. that unless Atorney General Bill Barr indicts these people -- he menioned Obama and Biden by name -- he will go down in history as a very sad situation. Those are the presiden's words...",1,,,
post,Airyaman saidHer name is Melissa Carone. I guess you didn't know thatClick to expand...,1,,,
mrjurrs,joko104 saidWe are going ino the 3rd week after the election and over a dozen House races are still undecided.When does the voting REALLY stop? How can anyone defend this election process?Click to expand...Because every single state Secretary of State has been happy with the process.,1,Male,The Bay,Progressive
joko104,mrjurrs saidBecause every single state Secretary of State has been happy with the process.Click to expand...So what,1,,,
GummyVitamin,"rahl saidbut you know that it hasn't, which is why you can't provide any evidence that it's taken place.I accept your concession.  Thank you for admiting you can not produce any evidence that fraud took place.Click to expand...",1,,,
mrjurrs,joko104 saidSo whatClick to expand...Those are the elected officials responsible for executing elections.,1,Male,The Bay,Progressive
