Thread,Gender,Location,Political_leaning
1,Male,,Conservative
1,Male,Georgia,Slightly Liberal
1,,'Murica,Independen
1,,,
1,Male,Massachuset,Other
1,Male,,Conservative
1,Male,,Other
1,Male,,Libertarian
1,Male,N. Virginia,Slightly Liberal
1,Male,"Near Boise, ID",Liberal
1,Male,,Other
1,Male,"Near Boise, ID",Liberal
1,Male,"Near Boise, ID",Liberal
1,Male,"Near Boise, ID",Liberal
1,Male,"Near Boise, ID",Liberal
1,Male,A very blue stat,Independen
1,Male,A very blue stat,Independen
1,Male,A very blue stat,Independen
1,,,Independen
1,Male,"Denon, Texas",Very Liberal
1,Male,,Other
1,,,
1,Male,,Other
1,,,Independen
1,,,
2,,,
2,Male,,Other
2,Male,,Liberal
2,Male,,Conservative
2,Male,,Independen
2,,'Murica,Independen
2,,,
2,Male,,Independen
2,Male,Canada,Cenrist
2,Male,,Conservative
2,Male,,Liberal
2,Male,,Conservative
2,Male,Where I'm Needed,Independen
2,Male,,Liberal
2,Male,,Independen
2,Male,,Conservative
2,Male,,Conservative
2,,,
2,Male,,Conservative
2,Male,,Independen
2,Male,Where I'm Needed,Independen
2,Male,Canada,Cenrist
2,Male,,Independen
2,,,
2,Male,,Conservative
3,,,Independen
3,Male,Los Angeles,
3,,'Murica,Independen
3,,,
3,,,
3,Male,Over that way,Independen
3,,,Independen
3,Male,,Cenrist
3,Male,Ohio,Libertarian - Right
3,Male,Ohio,Libertarian - Right
3,Male,,Libertarian - Right
3,Male,,Cenrist
3,Male,,
3,Male,Ohio,Libertarian - Right
3,Female,"Gainesville, Florida",Liberal
3,,,Independen
3,Male,Over that way,Independen
3,Male,Georgia,Slightly Liberal
3,Male,,Libertarian - Right
3,Male,Over that way,Independen
3,Female,Not over the edge yet,Slightly Liberal
3,Male,Georgia,Slightly Liberal
3,Male,Georgia,Slightly Liberal
3,Female,Not over the edge yet,Slightly Liberal
3,,,
4,Male,,Independen
5,Male,,Conservative
5,Female,Midwest,
5,Male,Southern OR,Conservative
5,Male,,Conservative
5,Male,Idaho,Other
5,Male,Idaho,Other
5,Male,Idaho,Other
5,Male,Idaho,Other
5,,'Murica,Independen
5,Male,Idaho,Other
5,Male,,Conservative
6,Male,,Independen
7,Male,Oregon,Progressive
7,Male,,
7,,,
7,Male,Oregon,Progressive
7,Male,Oregon,Progressive
7,Male,,Socialist
7,Male,Oregon,Progressive
8,Male,Washington,Independen
8,Male,Ohio,Libertarian - Right
8,Male,Ohio,Libertarian - Right
8,,,Independen
8,Male,Indian,Other
8,Female,,Progressive
8,,,Independen
8,Male,,Independen
8,Male,,Libertarian
8,Male,,Independen
8,Male,,Independen
8,Male,,Libertarian
8,Male,AL,Libertarian
8,Male,Texas,Independen
8,Male,Texas,Independen
8,Male,,Independen
8,Male,,Libertarian
8,Male,,Independen
8,Male,,
8,Male,The Bay,Progressive
8,Male,,Libertarian
8,Male,Ohio,Libertarian - Right
8,Male,Ohio,Libertarian - Right
8,Male,,Independen
8,Male,The Bay,Progressive
9,Male,St. Louis MO,Slightly Conservative
9,Male,,
9,Male,St. Louis MO,Slightly Conservative
9,Male,,Independen
9,Male,St. Louis MO,Slightly Conservative
9,Male,,Independen
9,Male,St. Louis MO,Slightly Conservative
9,Male,,Independen
9,Female,"Gainesville, Florida",Liberal
9,Male,"Alaska (61.5xc2xb0N, -149xc2xb0W",Conservative
9,Male,St. Louis MO,Slightly Conservative
9,Male,"Alaska (61.5xc2xb0N, -149xc2xb0W",Conservative
9,Male,St. Louis MO,Slightly Conservative
9,Male,"Alaska (61.5xc2xb0N, -149xc2xb0W",Conservative
9,Male,St. Louis MO,Slightly Conservative
9,Male,"Alaska (61.5xc2xb0N, -149xc2xb0W",Conservative
9,Male,St. Louis MO,Slightly Conservative
9,Male,"Alaska (61.5xc2xb0N, -149xc2xb0W",Conservative
9,Male,St. Louis MO,Slightly Conservative
10,Male,,Progressive
10,,'Murica,Independen
10,Male,,Libertarian - Left
10,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
10,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
10,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
10,Male,,Libertarian
10,Male,"West end of the Erie Canal (That's Buffalo, NY for",Very Conservative
10,Male,California,Conservative
10,Male,,Libertarian
10,Male,Georgia,Slightly Liberal
10,Male,Georgia,Slightly Liberal
10,Male,,Progressive
10,Male,Mid-West USA,Libertarian - Left
10,Male,Georgia,Slightly Liberal
10,,U.S.,
10,Male,Georgia,Slightly Liberal
10,Male,Flori-duh,Progressive
10,,U.S.,
10,Male,"Smackover, AR.",Very Conservative
10,Male,"Uhland, Texas",Libertarian
10,Male,"Uhland, Texas",Libertarian
10,Male,"Tenessee, USA",Conservative
10,Male,"Tenessee, USA",Conservative
10,Male,"Near Boise, ID",Liberal
11,Female,"Gainesville, Florida",Liberal
11,Male,Third Coast,Other
11,Female,"Gainesville, Florida",Liberal
11,Male,"Phoenix, AZ",Independen
11,,,
11,Male,Chicago,Very Conservative
11,Female,"Gainesville, Florida",Liberal
11,Male,Third Coast,Other
11,,,
11,Female,"Gainesville, Florida",Liberal
11,,,
11,Female,"Gainesville, Florida",Liberal
11,Male,Rocky Mt. High,Progressive
11,Male,Rocky Mt. High,Progressive
11,Female,"Gainesville, Florida",Liberal
11,,,
11,Female,"Gainesville, Florida",Liberal
11,,,
11,Female,Not over the edge yet,Slightly Liberal
11,Female,Not over the edge yet,Slightly Liberal
11,Male,Third Coast,Other
11,Male,PNW USA,Other
11,Female,"Gainesville, Florida",Liberal
11,Female,"Gainesville, Florida",Liberal
11,Male,N. Virginia,Slightly Liberal
12,Male,,Conservative
12,Male,Third Coast,Other
12,Male,On a Gravy Train with Biscuit Wheels,Very Liberal
12,Male,,Libertarian - Right
12,Male,,Conservative
12,Male,,Slightly Liberal
12,Male,Seatle Area,Independen
12,Male,Third Coast,Other
12,Male,"Tenessee, USA",Conservative
13,,,
13,,'Murica,Independen
13,Male,,Progressive
13,Male,Seatle Area,Independen
13,Male,Seatle Area,Independen
13,,,
13,Female,Tenessee,Liberal
13,Male,,Other
13,Male,PNW,Libertarian - Left
13,Male,,Liberal
13,Male,Over that way,Independen
13,Male,The Bay,Progressive
13,,,
13,,,
13,Male,,Other
13,,,
13,Male,,Other
13,Male,"Near Boise, ID",Liberal
13,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
13,Male,"Near Boise, ID",Liberal
13,Male,N. Virginia,Slightly Liberal
13,Male,,Independen
13,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
13,,Oregon,
13,Male,Seatle Area,Independen
14,Male,,Independen
14,Female,Northern California,Independen
14,Male,,Independen
14,Male,,Liberal
14,Male,United States,Privat
14,Male,,Independen
14,Male,United States,Privat
14,Male,United States,Privat
14,Male,United States,Privat
14,Male,,Independen
14,Male,New York,Liberal
14,Male,"Cambridge, MA",Slightly Liberal
14,Male,N. Virginia,Slightly Liberal
14,Male,Flori-duh,Progressive
14,,Utah,
15,Male,,Independen
15,Male,,Independen
15,Male,,Moderat
15,,'Murica,Independen
15,,,
15,Female,New Jersey,Liberal
15,Male,,Independen
15,Male,,Very Conservative
15,Male,,Very Conservative
15,Male,"Uhland, Texas",Libertarian
15,Male,,Very Conservative
15,Male,"Uhland, Texas",Libertarian
15,Male,Atlan,Independen
15,Male,Atlan,Independen
15,Male,Best Coast Canada,
15,Male,,Very Conservative
15,Male,,Very Conservative
15,Male,,Very Conservative
15,Male,Texas,Slightly Liberal
15,Male,,Very Conservative
15,Male,Texas,Slightly Liberal
15,Male,"Uhland, Texas",Libertarian
15,Male,Atlan,Independen
15,Male,,Very Conservative
15,Male,,Very Conservative
16,Male,,Progressive
16,,US,
16,Male,,
16,Male,,Conservative
16,Male,Ohio,Libertarian - Right
16,Male,Where I'm Needed,Independen
16,Male,Chicago,Very Conservative
16,Male,Ohio,Libertarian - Right
16,Male,Chicago,Very Conservative
16,Male,,Progressive
16,Male,Georgia,Slightly Liberal
17,Male,,Independen
17,Male,,Libertarian
17,Male,,Liberal
17,Male,,Independen
17,Male,San Diego,Other
17,Male,San Diego,Other
17,Male,,Liberal
17,Male,,Independen
17,Male,,Liberal
17,Male,,Independen
17,Male,,
17,Male,,Independen
17,,,
17,Male,,Independen
17,Male,"Uhland, Texas",Libertarian
17,Male,,Liberal
17,Male,,Independen
17,Male,Seatle Area,Independen
17,Male,United States,Privat
17,Male,,Moderat
17,Male,"Tenessee, USA",Conservative
17,Male,"Tenessee, USA",Conservative
17,Male,Seatle Area,Independen
17,Female,"Gainesville, Florida",Liberal
17,Male,"Uhland, Texas",Libertarian
18,Male,,Slightly Liberal
18,,,
18,Male,,Slightly Liberal
19,,,Moderat
20,Male,,Independen
20,Male,"Denon, Texas",Very Liberal
20,,,
20,,Bedroom,
20,Male,Texas,Independen
20,Male,Texas,Independen
20,,Bedroom,
20,Female,"Gainesville, Florida",Liberal
20,Male,California,Very Liberal
20,Female,"Gainesville, Florida",Liberal
20,,Bedroom,
20,Female,"Gainesville, Florida",Liberal
20,,Bedroom,
20,Male,,Very Conservative
20,,Bedroom,
20,Male,Atlan,Independen
20,Female,"Gainesville, Florida",Liberal
20,,El Paso Stron,Conservative
20,,El Paso Stron,Conservative
20,,El Paso Stron,Conservative
20,Female,"Gainesville, Florida",Liberal
20,,Bedroom,
20,Male,California,Very Liberal
20,Male,California,Very Liberal
20,,El Paso Stron,Conservative
21,Male,New Mexico,Progressive
21,Male,,Liberal
22,Male,Chicago,Very Conservative
22,Male,Behind you - run,Other
22,,,Communist
22,Male,,Independen
22,Male,Chicago,Very Conservative
22,Male,Menor Ohio,Libertarian
22,Male,,Liberal
23,Male,Ohio,Libertarian - Right
23,,,
23,Male,Ohio,Libertarian - Right
23,Male,Chicago,Very Conservative
23,,'Murica,Independen
23,,,
23,Male,Behind you - run,Other
23,Male,,Conservative
23,Male,United States,Privat
23,Male,Washington,Independen
23,Male,Washington,Independen
23,Male,Ohio,Libertarian - Right
23,Male,Washington,Independen
23,Male,Ohio,Libertarian - Right
23,Male,Washington,Independen
24,Male,Washington,Independen
25,,,Moderat
25,Female,"Gainesville, Florida",Liberal
26,Male,,Independen
26,,USA,Independen
26,Male,Third Coast,Other
26,Female,"Gainesville, Florida",Liberal
26,Male,PNW USA,Other
26,Female,New Englan,Moderat
26,,USA,Independen
26,Male,,Independen
26,Male,Atlan,Independen
26,Male,,Independen
26,Female,"Gainesville, Florida",Liberal
27,,,
27,Male,Where I'm Needed,Independen
27,,,
27,,,
27,,,
27,,On an island. Not that one!,Socialist
27,,,
27,,,
27,,On an island. Not that one!,Socialist
27,,On an island. Not that one!,Socialist
27,,,
27,Male,,Independen
27,Male,Texas,Slightly Liberal
27,,,
27,Male,Texas,Slightly Liberal
27,Male,Ohio,Libertarian - Right
27,Male,United States,Privat
28,Male,,Progressive
28,Male,Chicago,Very Conservative
28,Male,The Garden Stat,
28,Male,,Progressive
29,Male,,Progressive
29,Female,"Gainesville, Florida",Liberal
29,Male,Colorado,Libertarian - Left
29,Female,"Gainesville, Florida",Liberal
29,Male,Colorado,Libertarian - Left
29,Female,"Gainesville, Florida",Liberal
29,Male,Colorado,Libertarian - Left
30,Male,,Progressive
30,Female,"Gainesville, Florida",Liberal
30,Male,"Williamsburg, Virginia",Independen
30,Male,New Mexico,Progressive
31,Male,,Independen
31,Male,Minesot,Cenrist
31,Male,Over that way,Independen
31,Male,"Uhland, Texas",Libertarian
31,Female,New Englan,Moderat
31,Male,KC,Moderat
31,Male,"Uhland, Texas",Libertarian
31,Male,The Garden Stat,
32,Male,,Progressive
32,Female,"Gainesville, Florida",Liberal
33,Female,"Gainesville, Florida",Liberal
33,,US,
33,Female,"Gainesville, Florida",Liberal
33,,US,
33,Female,"Gainesville, Florida",Liberal
33,Male,Georgia,Slightly Liberal
33,,US,
33,Female,"Gainesville, Florida",Liberal
34,Male,,Independen
34,Male,,
34,Male,,Independen
34,Male,,Moderat
34,Male,The Bay,Progressive
34,Male,,Independen
34,Male,,
34,Male,The Bay,Progressive
34,Male,,
34,,,Independen
34,Male,PNW USA,Other
34,Male,Washington Stat,Conservative
34,Male,Akron,Progressive
34,Male,,
34,Male,,Independen
34,Male,The Bay,Progressive
34,Male,,Other
34,Male,,
34,Male,,
34,Male,,Independen
34,Male,Atlan,Independen
34,Male,,Independen
34,Male,PNW,Libertarian - Left
34,Male,,
34,Male,Washington Stat,Conservative
35,Male,,Independen
35,Male,,Moderat
35,Female,"Gainesville, Florida",Liberal
35,Male,VPN @ PRC/HKG/SPORE/JPN/LA/UK/CANADA/& EU OTHERS,Progressive
35,Male,"Denon, Texas",Very Liberal
35,Female,New Englan,Moderat
35,,,
35,,,Cenrist
35,Male,"Tucson, AZ",Conservative
35,Male,,Independen
35,,,Cenrist
35,Male,,Moderat
35,Male,"Tucson, AZ",Conservative
35,Female,Tenessee,Liberal
35,Male,Texas,Independen
35,Male,,Independen
35,Female,New Englan,Moderat
35,Female,New Englan,Moderat
35,,,
35,Male,VPN @ PRC/HKG/SPORE/JPN/LA/UK/CANADA/& EU OTHERS,Progressive
35,Female,Tenessee,Liberal
35,Male,,Independen
35,Male,,Very Conservative
35,Female,Tenessee,Liberal
35,Male,,Moderat
36,Male,,Progressive
36,Male,Texas,Independen
36,Male,Seatle Area,Independen
36,Male,lotuslan,Slightly Liberal
37,Male,California,Conservative
37,Male,Texas,Independen
37,Male,Tampa Bay area,Progressive
37,,,Moderat
37,Male,,Very Conservative
37,Male,,Independen
37,Male,Tampa Bay area,Progressive
37,,,
38,Male,,Moderat
38,Male,,Libertarian - Left
38,,,Independen
38,,,Socialist
38,Male,,Independen
38,,,Independen
38,,,Independen
