Poster,Content,Thread,Gender,Location,Political_leaning,Subjectivity,Polarity
Logical1,Do all you pro abortion people know that to harvest organs for transplan the baby has to be living?   That means Planed Parenhood and abortion doctors are cuting the heart or what ever out of a living human being.   How do you justify that?    I call it just plain murder.,1,Male,Nebraska,Very Conservative,0.2285714285714286,-0.10714285714285714
year2lat,Logical1 saidDo all you pro abortion people know that to harvest organs for transplan the baby has to be living?   That means Planed Parenhood and abortion doctors are cuting the heart or what ever out of a living human being.   How do you justify that?    I call it just plain murder.Click to expand...Where do you get this crap from?Can you source your informatio that Planed Parenhood is cuting the organs out of living babies for transplanA link to the arrest for murder and subsequen trial would be a start,1,Female,,Progressive,0.30142857142857143,-0.16285714285714287
Logician Man,Logical1 saidDo all you pro abortion people know that to harvest organs for transplan the baby has to be living?   That means Planed Parenhood and abortion doctors are cuting the heart or what ever out of a living human being.   How do you justify that?    I call it just plain murder.Click to expand...Pull up any/all posts where DP members ( regardless of political or religious affiliation ) have publicly professed they are'pro-abortion' You clearly are confused between the differences in'pro-abortion' an'pro-choice.' Do you need those differences spelled out,1,Male,Where I'm Needed,Independen,0.2605442176870748,-0.05204081632653062
Mr Person,"Logical1 said<>   That means Planed Parenhood and abortion doctors are cuting the heart or what ever out of a living human being.   How do you justify that?    I call it just plain murder.Click to expand...Uhuh.RightNo wonder you failed to provide a link, like always.",1,Male,Massachuset,Other,0.2517857142857143,-0.11607142857142858
Logical1,Logician Man saidPull up any/all posts where DP members ( regardless of political or religious affiliation ) have publicly professed they are'pro-abortion' You clearly are confused between the differences in'pro-abortion' an'pro-choice.' Do you need those differences spelled outClick to expand...I live in a logical black and white world.  Your are either pro aborition or ani abortion.  I am among the later.,1,Male,Nebraska,Very Conservative,0.25555555555555554,-0.020033670033670035
Logical1,"Mr Person saidUhuh.RightNo wonder you failed to provide a link, like always.Click to expand...Your picture that I am familiar with is what used to happen in Cenral America  years ago, and in abortion mills today.",1,Male,Nebraska,Very Conservative,0.4,-0.0625
Logician Man,"Logical1 saidI live in a logical black and white world.  Your are either pro aborition or ani abortion.  I am among the later.Click to expand...There is nothin'logical' about your'black and whit' world thinking. That is why your OP was DOA as soon as you put it up for discussion. We could compare who has/is done/doing more for the unborn if you'd like. You give your personal testimony first, then I will presen mine. ( again ) You up to the challenge?",1,Male,Where I'm Needed,Independen,0.325,0.1303030303030303
CaughtInThe,year2late saidWhere do you get this crap from?Can you source your informatio that Planed Parenhood is cuting the organs out of living babies for transplanA link to the arrest for murder and subsequen trial would be a startClick to expand...we're a day before an election. expect every vile lie.,1,,,,0.4,-0.42500000000000004
Scrabaholic,"I don't know anyone who is pro-abortion. Fetal organs are too immature to use for transplans. At the stage where they'd be useful to transplan ino a newborn, the fetus would be past viability. PP does not do post viability abortions. The only fetal organ transplans I am aware of is where the fetus will not live after birth and the woman carries to term to donate it's organs - after birth.",1,Female,"Near Kingston, Onario, Canada",Conservative,0.4,0.08727272727272727
year2lat,Logical1 saidDo all you pro abortion people know that to harvest organs for transplan the baby has to be living?   That means Planed Parenhood and abortion doctors are cuting the heart or what ever out of a living human being.   How do you justify that?    I call it just plain murder.Click to expand...You must think people on your side are amazingly stupid to try to pass this off as truth.,1,Female,,Progressive,0.42678571428571427,-0.19107142857142856
Logical1,"Looks like I hit a nerve, when you examine the grisly business of abortion.  Abortion doctors make Nazi death camp doctors look like the friendly old doc down the lane.The fact is---------there must be a special place in Hell for abortion doctors, right next to Hitler and Stalin",1,Male,Nebraska,Very Conservative,0.3792063492063492,0.17246031746031745
calamit,"Logical1 saidDo all you pro abortion people know that to harvest organs for transplan the baby has to be living?   That means Planed Parenhood and abortion doctors are cuting the heart or what ever out of a living human being.   How do you justify that?    I call it just plain murder.Click to expand...uh, you must have your transplans confused. No one is transplaning the hearts of fetuses ino living adults.",1,,,Cenrist,0.35178571428571426,-0.09107142857142858
calamit,"Logical1 saidLooks like I hit a nerve, when you examine the grisly business of abortion.  Abortion doctors make Nazi death camp doctors look like the friendly old doc down the lane.The fact is---------there must be a special place in Hell for abortion doctors, right next to Hitler and StalinClick to expand...lol...no, we are just having a good laugh.",1,,,Cenrist,0.35575396825396827,0.2640376984126984
Logician Man,"Logical1 saidLooks like I hit a nerve, when you examine the grisly business of abortion.  Abortion doctors make Nazi death camp doctors look like the friendly old doc down the lane.The fact is---------there must be a special place in Hell for abortion doctors, right next to Hitler and StalinClick to expand.../// The fact is.........///....If indeed it;s a'fact' then you need to meet your burden of proof. Please do so now, or clearly your claim is NOT a'fact",1,Male,Where I'm Needed,Independen,0.36133786848072563,0.1731859410430839
year2lat,"Logical1 saidLooks like I hit a nerve, when you examine the grisly business of abortion.  Abortion doctors make Nazi death camp doctors look like the friendly old doc down the lane.The fact is---------there must be a special place in Hell for abortion doctors, right next to Hitler and StalinClick to expand...Naw....we are used to people thinking their own side are idiots by trying to pass off lies as truth.",1,Female,,Progressive,0.42086167800453517,0.04461451247165533
Scrabaholic,"Logical1 saidLooks like I hit a nerve, when you examine the grisly business of abortion.  Abortion doctors make Nazi death camp doctors look like the friendly old doc down the lane.The fact is---------there must be a special place in Hell for abortion doctors, right next to Hitler and StalinClick to expand...So, you can't actually address the couner argumens to the OP. Got it",1,Female,"Near Kingston, Onario, Canada",Conservative,0.32086167800453513,0.15890022675736962
Logical1,"calamity saiduh, you must have your transplans confused. No one is transplaning the hearts of fetuses ino living adults.Click to expand...I never said they were.",1,Male,Nebraska,Very Conservative,0.7,-0.4
Logical1,"Abortion is either right or wrong, and I say it is a huge wrong.",1,Male,Nebraska,Very Conservative,0.8089285714285714,-0.07857142857142856
Lursa,"Logical1 saidDo all you pro abortion people know that to harvest organs for transplan the baby has to be living?   That means Planed Parenhood and abortion doctors are cuting the heart or what ever out of a living human being.   How do you justify that?    I call it just plain murder.Click to expand...Logical1 saidI live in a logical black and white world.  Your are either pro aborition or ani abortion.  I am among the later.Click to expand...And what about lying? Either you are honest or you are lying, rightPlease provide the sources showing your OP is factual.And then, when you canot and admit you are wrong, since God is very very clear about lying...will you repen your sinOr will you coninue lying? And sining?",1,Female,Outside Seatle,Independen,0.41888095238095235,0.04854112554112554
Scrabaholic,"Logical1 saidAbortion is either right or wrong, and I say it is a huge wrong.Click to expand...Then don't have one. I think it is amoral, meaning neither moral or immoral and if I get pregnan, I WILL abort",1,Female,"Near Kingston, Onario, Canada",Conservative,0.5671428571428572,0.08714285714285716
