Thread,Gender,Location,Political_leaning
1,Male,,Progressive
1,,,
1,Male,Oceania,Libertarian
1,Male,,Progressive
1,,,
2,,USA,Independen
2,,,
2,Male,Menor Ohio,Libertarian
2,Male,Menor Ohio,Libertarian
2,Male,menifee calif.,Liberal
2,Male,Menor Ohio,Libertarian
2,,,
2,Male,Menor Ohio,Libertarian
2,Male,,Independen
2,Male,,Independen
2,,Trumplandia,Very Conservative
2,Male,,Independen
2,,,
2,Male,Menor Ohio,Libertarian
2,,,
2,Male,Menor Ohio,Libertarian
2,Male,"Columbus, OH",Moderat
2,,Down the street,
2,,,
2,,,
2,Male,"Columbus, OH",Moderat
2,,,
2,Male,,Liberal
2,Male,,Liberal
2,Male,"Columbus, OH",Moderat
3,Male,,Progressive
4,Male,,Progressive
5,Male,,Progressive
5,Male,"Tenessee, USA",Conservative
5,Male,,Progressive
5,Male,"Tenessee, USA",Conservative
6,Male,,Progressive
6,,,Independen
6,Male,,Progressive
6,,,Independen
6,Male,,Progressive
6,,,Independen
7,Male,,Progressive
7,Male,,Progressive
7,Male,,Communist
7,Male,,Progressive
8,Male,,Progressive
8,,,
9,Male,,Progressive
9,Male,Massachuset,Other
9,,,
9,,,Communist
10,Male,Rostock / German,Conservative
10,Male,Oceania,Libertarian
10,Male,Rostock / German,Conservative
10,Male,"Tenessee, USA",Conservative
10,Male,VPN @ PRC/HKG/SPORE/JPN/LA/UK/CANADA/& EU OTHERS,Progressive
11,,,Libertarian - Right
12,Male,,Progressive
13,Male,,Progressive
13,Male,VPN @ PRC/HKG/SPORE/JPN/LA/UK/CANADA/& EU OTHERS,Progressive
14,,'Murica,Independen
14,,Somewhere in Babylon...,
14,Male,"Tenessee, USA",Conservative
14,Male,,Conservative
14,Male,"Monreal, QC",Liberal
14,Male,"Williamsburg, Virginia",Independen
14,Male,in expatria,Privat
14,Male,"Williamsburg, Virginia",Independen
14,Male,,Independen
14,Male,,Conservative
14,Male,,Conservative
14,Male,,Conservative
14,,USA,Independen
14,Male,"Monreal, QC",Liberal
14,,,Cenrist
14,Male,,Communist
14,Male,"Suierland, German",Independen
14,Male,,Communist
14,Male,"Williamsburg, Virginia",Independen
14,Male,in expatria,Privat
14,Male,in expatria,Privat
14,Male,"Williamsburg, Virginia",Independen
14,Male,in expatria,Privat
14,Male,Colorado,Libertarian - Left
14,,Trumplandia,Very Conservative
15,,Trumplandia,Very Conservative
16,,Post-Societal Collapse,Cenrist
16,,Post-Societal Collapse,Cenrist
16,Male,,Conservative
16,Male,PNW,Libertarian - Left
16,Male,,Conservative
16,Male,PNW,Libertarian - Left
16,Male,,Communist
16,Male,,Progressive
16,Male,Republic of Florida,Libertarian
17,Male,,Communist
17,Male,,Independen
17,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
17,Male,"Tenessee, USA",Conservative
17,,,
17,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
17,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
17,,,
17,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
17,,,
17,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
17,,,
17,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
17,,,
17,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
18,,,Independen
18,Male,,Independen
18,,,Independen
18,Male,,Independen
18,,,Independen
18,Male,,Independen
18,,,Independen
18,Male,Chicago,Independen
18,Male,Peoples Republic of California AKA Taxifornia,Libertarian - Right
18,,,Independen
19,,,Cenrist
19,,,Cenrist
19,,,Cenrist
19,,New Zealan,Independen
19,,,Cenrist
19,,New Zealan,Independen
19,,,
19,Male,VPN @ PRC/HKG/SPORE/JPN/LA/UK/CANADA/& EU OTHERS,Progressive
19,,New Zealan,Independen
19,,,Cenrist
19,,,
19,,,
19,,New Zealan,Independen
19,,,Cenrist
