Thread,Gender,Location,Political_leaning
1,Male,Nebraska,Very Conservative
1,Female,,Progressive
1,Male,Where I'm Needed,Independen
1,Male,Massachuset,Other
1,Male,Nebraska,Very Conservative
1,Male,Nebraska,Very Conservative
1,Male,Where I'm Needed,Independen
1,,,
1,Female,"Near Kingston, Onario, Canada",Conservative
1,Female,,Progressive
1,Male,Nebraska,Very Conservative
1,,,Cenrist
1,,,Cenrist
1,Male,Where I'm Needed,Independen
1,Female,,Progressive
1,Female,"Near Kingston, Onario, Canada",Conservative
1,Male,Nebraska,Very Conservative
1,Male,Nebraska,Very Conservative
1,Female,Outside Seatle,Independen
1,Female,"Near Kingston, Onario, Canada",Conservative
1,Male,"Deepest, Darkest NZ",Very Liberal
1,Male,"Deepest, Darkest NZ",Very Liberal
1,Female,"Rolesville, NC",Moderat
1,Female,,Progressive
1,Male,,Progressive
2,Male,Nebraska,Very Conservative
2,,,
2,Male,,Independen
2,,,
2,Female,,Progressive
2,Male,,Independen
2,Female,"Near Kingston, Onario, Canada",Conservative
2,Male,The Bay,Progressive
2,Male,San Anonio,Libertarian - Left
2,Male,Flori-duh,Progressive
2,Male,,Very Conservative
2,,,
2,Male,Colorado,Independen
2,Female,,Other
2,Female,Outside Seatle,Independen
2,Female,Outside Seatle,Independen
2,,,
2,,Oregon,
2,Female,,
2,Female,,
2,,Oregon,
2,Male,Behind you - run,Other
2,,Oregon,
2,Male,Akron,Progressive
2,Male,ew zealand.,Other
3,,Oregon,
3,Male,,Independen
3,,Oregon,
3,Male,ew zealand.,Other
3,,Oregon,
3,Female,Outside Seatle,Independen
3,,Europe,
3,Female,Outside Seatle,Independen
3,,Europe,
3,Female,"Gainesville, Florida",Liberal
3,Female,Outside Seatle,Independen
3,Female,,Libertarian - Right
3,Male,arizon,Independen
3,Female,Outside Seatle,Independen
3,Female,"Gainesville, Florida",Liberal
3,Female,,Libertarian - Right
3,Male,Over the edge...,
3,Female,"Gainesville, Florida",Liberal
3,,Oregon,
3,Female,,Libertarian - Right
3,Female,"Gainesville, Florida",Liberal
3,Female,,Liberal
