Date,State,replublican_Approval_rating,democratic_approval_rating,Result
2020,AL,0.569,0.396,R
2020,AK,0.529,0.445,R
2020,AZ,0.481,0.507,D
2020,AR,0.605,0.378,R
2020,CA,0.341,0.641,D
2020,CO,0.428,0.545,D
2020,CT,0.375,0.616,D
2020,DC,0.054,0.913,D
2020,DE,0.366,0.623,D
2020,FL,0.484,0.509,R
2020,GA,0.492,0.501,D
2020,HI,0.309,0.675,D
2020,ID,0.595,0.375,R
2020,IL,0.404,0.584,D
2020,IN,0.548,0.44,R
2020,IA,0.5,0.485,R
2020,KS,0.557,0.425,R
2020,KY,0.584,0.404,R
2020,LA,0.588,0.402,R
2020,ME,0.434,0.552,D
2020,MD,0.336,0.65,D
2020,MA,0.318,0.667,D
2020,MI,0.455,0.535,D
2020,MN,0.446,0.537,D
2020,MS,0.568,0.42,R
2020,MO,0.541,0.446,R
2020,MT,0.529,0.459,R
2020,NE,0.725,0.254,R
2020,NV,0.462,0.523,D
2020,NH,0.442,0.548,D
2020,NJ,0.394,0.597,D
2020,NM,0.426,0.556,D
2020,NY,0.35,0.641,D
2020,NC,0.488,0.505,R
2020,ND,0.596,0.379,R
2020,OH,0.498,0.482,R
2020,OK,0.621,0.369,R
2020,OR,0.393,0.587,D
2020,PA,0.473,0.52,D
2020,RI,0.357,0.629,D
2020,SC,0.534,0.459,R
2020,SD,0.578,0.408,R
2020,TN,0.573,0.416,R
2020,TX,0.5,0.48,R
2020,UT,0.55,0.417,R
2020,VT,0.291,0.672,D
2020,VA,0.433,0.558,D
2020,WA,0.37,0.608,D
2020,WV,0.645,0.338,R
2020,WI,0.454,0.537,D
2016,WY,0.658,0.31,R
2016,AL,0.554,0.326,R
2016,AK,0.421,0.361,R
2016,AZ,0.444,0.427,R
2016,AR,0.526,0.324,R
2016,CA,0.311,0.518,D
2016,CO,0.397,0.433,D
2016,CT,0.354,0.485,D
2016,DC,0.08,0.786,D
2016,DE,0.385,0.484,D
2016,FL,0.444,0.457,R
2016,GA,0.472,0.435,R
2016,HI,0.282,0.501,D
2016,ID,0.463,0.277,R
2016,IL,0.349,0.494,D
2016,IN,0.475,0.371,R
2016,IA,0.435,0.404,R
2016,KS,0.48,0.368,R
2016,KY,0.502,0.326,R
2016,LA,0.5,0.354,R
2016,ME,0.371,0.451,D
2016,MD,0.29,0.563,D
2016,MA,0.286,0.541,D
2016,MI,0.404,0.445,R
2016,MN,0.376,0.449,D
2016,MS,0.504,0.372,R
2016,MO,0.491,0.381,R
2016,MT,0.47,0.324,R
2016,NE,0.499,0.326,R
2016,NV,0.435,0.446,D
2016,NH,0.406,0.448,D
2016,NJ,0.369,0.489,D
2016,NM,0.381,0.434,D
2016,NY,0.33,0.527,D
2016,NC,0.444,0.457,R
2016,ND,0.518,0.282,R
2016,OH,0.444,0.428,R
2016,OK,0.552,0.302,R
2016,OR,0.359,0.456,D
2016,PA,0.424,0.463,R
2016,RI,0.335,0.476,D
2016,SC,0.471,0.401,R
2016,SD,0.482,0.339,R
2016,TN,0.474,0.369,R
2016,TX,0.468,0.393,R
2016,UT,0.363,0.265,R
2016,VT,0.233,0.525,D
2016,VA,0.407,0.466,D
2016,WA,0.348,0.498,D
2016,WV,0.558,0.292,R
2016,WI,0.405,0.464,R
2016,WY,0.571,0.221,R
2012,AL,0.6,0.369,R
2012,AK,0.58,0.314,R
2012,AZ,0.525,0.45,R
2012,AR,0.372,0.372,R
2012,CA,0.394,0.534,D
2012,CO,0.473,0.488,D
2012,CT,0.42,0.528,D
2012,DC,0.07,0.824,D
2012,DE,0.561,0.561,D
2012,FL,0.497,0.482,D
2012,GA,0.53,0.43,R
2012,HI,0.28,0.642,D
2012,ID,0.61,0.342,R
2012,IL,0.37,0.53,D
2012,IN,0.408,0.408,D
2012,IA,0.46,0.495,D
2012,KS,0.6,0.381,R
2012,KY,0.61,0.393,R
2012,LA,0.58,0.417,R
2012,ME,0.42,0.523,D
2012,MD,0.37,0.582,D
2012,MA,0.397,0.573,D
2012,MI,0.455,0.495,D
2012,MN,0.444,0.496,R
2012,MS,0.56,0.444,R
2012,MO,0.53,0.428,R
2012,MT,0.527,0.437,R
2012,NE,0.61,0.37,R
2012,NV,0.474,0.502,D
2012,NH,0.479,0.499,D
2012,NJ,0.405,0.523,D
2012,NM,0.417,0.517,D
2012,NY,0.343,0.607,D
2012,NC,0.492,0.462,R
2012,ND,0.59,0.329,R
2012,OH,0.471,0.5,D
